date,epu
2009-07-01,104.35510709905104
2009-08-01,111.17433944828353
2009-09-01,99.00963605868142
2009-10-01,86.24175958283952
2009-11-01,99.77926919298855
2009-12-01,108.39608714570849
2010-01-01,136.8638567524851
2010-02-01,116.72155709274665
2010-03-01,124.68750888053152
2010-04-01,123.70220486752557
2010-05-01,147.7632571041711
2010-06-01,129.73219825852576
2010-07-01,196.947246910094
2010-08-01,127.22817320700601
2010-09-01,186.74124807429988
2010-10-01,154.76274087338885
2010-11-01,175.04428360372944
2010-12-01,151.55332953432713
2011-01-01,111.49282491700214
2011-02-01,104.56237005718249
2011-03-01,153.84172881941558
2011-04-01,124.84658739325506
2011-05-01,84.54916109828461
2011-06-01,139.03789822439276
2011-07-01,207.16030727622618
2011-08-01,283.66557475900305
2011-09-01,214.42610531267997
2011-10-01,137.83925213179361
2011-11-01,143.71456285976535
2011-12-01,183.08860708397356
2012-01-01,154.4180208360814
2012-02-01,119.4354400314271
2012-03-01,98.74810531454743
2012-04-01,96.96967116682289
2012-05-01,135.87985109650262
2012-06-01,197.46097892179694
2012-07-01,180.80354221209834
2012-08-01,142.95530132785808
2012-09-01,182.1071854846393
2012-10-01,166.12840409667675
2012-11-01,205.8646602342428
2012-12-01,214.95194883229547
2013-01-01,199.35894224148564
2013-02-01,128.5625134303117
2013-03-01,146.11586159850825
2013-04-01,135.44059164932975
2013-05-01,109.02804315682971
2013-06-01,126.62586942442519
2013-07-01,91.43749002531645
2013-08-01,108.75837824894603
2013-09-01,179.88973643717776
2013-10-01,225.37330714232283
2013-11-01,89.91517306848463
2013-12-01,115.02073762766821
2014-01-01,107.70512883233452
2014-02-01,93.36929825576232
2014-03-01,101.01873198897096
2014-04-01,96.99343088939669
2014-05-01,102.01504290843218
2014-06-01,85.96846751882667
2014-07-01,78.50598746054466
2014-08-01,63.877336319759245
2014-09-01,86.21660154224651
2014-10-01,113.3345833818482
2014-11-01,93.18594252758307
2014-12-01,87.41532796064575
2015-01-01,120.54422995171836
2015-02-01,87.60946941534985
2015-03-01,95.97896260680174
2015-04-01,103.54495698207339
2015-05-01,102.31869650214142
2015-06-01,115.88028665124163
2015-07-01,98.73479281421763
2015-08-01,156.50362976849812
2015-09-01,171.9326776079735
2015-10-01,110.70193773826145
2015-11-01,89.58371043936737
2015-12-01,101.96343285162988
2016-01-01,154.8573305883009
2016-02-01,148.32178884302218
2016-03-01,130.49015932384305
2016-04-01,96.41341581246452
2016-05-01,96.22233274231513
2016-06-01,233.95610298070238
2016-07-01,164.45840052945698
2016-08-01,106.88562278807385
2016-09-01,86.34353837572384
2016-10-01,108.06412479274995
2016-11-01,254.1013277977594
2016-12-01,161.42478617964736
2017-01-01,195.0406301487559
2017-02-01,177.77771703078386
2017-03-01,154.6096950716648
2017-04-01,157.67652276048602
2017-05-01,129.88805773509438
2017-06-01,120.63846201397699
2017-07-01,141.13833497496015
2017-08-01,137.85970356732346
2017-09-01,116.62001749224488
2017-10-01,125.86584390490803
2017-11-01,111.28268645750131
2017-12-01,140.35018163208687
2018-01-01,160.96720482315624
2018-02-01,114.75555830719168
2018-03-01,187.09588988952652
2018-04-01,139.0353863798274
2018-05-01,162.27669727441403
2018-06-01,134.40277095276352
2018-07-01,176.20507806975243
2018-08-01,114.9613708572396
2018-09-01,120.9851906831101
2018-10-01,136.11465330894578
2018-11-01,164.94220233666894
2018-12-01,226.57688783543793
2019-01-01,284.1359376541715
2019-02-01,123.63928802128095
2019-03-01,180.63169968632656
2019-04-01,109.68637345474953
2019-05-01,160.8581540301101
2019-06-01,207.99137228425923
2019-07-01,207.745461743896
2019-08-01,282.52293100286573
2019-09-01,186.6406965622766
2019-10-01,159.5113928417186
2019-11-01,170.48034105615363
2019-12-01,190.5049252842669
2020-01-01,164.75530578231132
2020-02-01,216.1912123553838
2020-03-01,425.7791697764692
2020-04-01,400.94474317052357
2020-05-01,503.9633367059844
2020-06-01,300.2401726881104
2020-07-01,427.91536611277434
2020-08-01,263.471433963797
2020-09-01,252.58784270321775
2020-10-01,305.76662668120656
2020-11-01,327.60960495189306
2020-12-01,326.61663006838853
2021-01-01,261.30613275031254
2021-02-01,187.51961611197683
2021-03-01,166.7855324285332
2021-04-01,141.3001663096493
2021-05-01,172.09620892868668
2021-06-01,149.131269416058
2021-07-01,182.171409450722
2021-08-01,157.1952139740155
2021-09-01,171.30044767776016
2021-10-01,136.92023897318535
2021-11-01,175.87287993217254
2021-12-01,201.43366532410738
2022-01-01,155.279658979555
2022-02-01,140.442501940303
2022-03-01,229.2447416565428
2022-04-01,168.82774660506905
2022-05-01,190.45301794086703
2022-06-01,152.81057402833767
2022-07-01,222.78993756365375
2022-08-01,183.0348267700993
2022-09-01,201.73848940265736
2022-10-01,207.27533479562322
2022-11-01,210.37489419320417
2022-12-01,150.03712407268858
2023-01-01,161.42711351828396
2023-02-01,152.96728106380317
2023-03-01,200.48993632249247
2023-04-01,165.4175590624888
2023-05-01,205.17645766377262
2023-06-01,179.30804360580657
2023-07-01,132.710630244132
2023-08-01,76.8442238599466
2023-09-01,117.69877740932384
2023-10-01,133.59407497617926
2023-11-01,140.67720419175046
2023-12-01,107.00157900353959
2024-01-01,131.2736785982848
2024-02-01,106.51287342793694
2024-03-01,116.71150289896295
2024-04-01,139.4120173422644
2024-05-01,123.60752054667117
2024-06-01,144.17842439562995
2024-07-01,144.93679861142613
2024-08-01,138.3664253273809
2024-09-01,127.39912062749826
2024-10-01,109.29088880997024
2024-11-01,225.04903075137688
2024-12-01,218.84548056843855
2025-01-01,236.78706815651915
2025-02-01,329.2907931159745
2025-03-01,446.30316270906906
2025-04-01,724.9360856008896
2025-05-01,563.9842129445441
2025-06-01,375.5853136260628
2025-07-01,372.0626725597245
2025-08-01,370.92542539915945
2025-09-01,319.84104140388
2025-10-01,308.3404087671043
2025-11-01,311.6498466606876
2025-12-01,288.5949912587927
